Date,Opponent,Result,W-L (Conference),HI Points,HI Rebounds,HI Assists,"Home/Away (Home 1, Away 0)","Win/Loss (Win 1, Loss 0)",Season Start Year,Score,Points Team Scored,Game ID,Team,Field Goal %,Three Point %,Free Throw %,Rebounds,Offensive Rebounds,Defensive Rebounds,Team Rebounds,Assists,Steals,Blocks,Total Turnovers,Fouls,Technical Fouls,Flagrant Fouls,Largest Lead
"Sat, Feb 19",@ 12 Arizona,L87-86,18-8 (10-5),Bryan-Amaning 24,Bryan-Amaning 8,Thomas 10,0,0,2011,87-86,86,310500012,Washington,54,31.3,72.2,28,8,17,3,20,8,11,11,17,0,0,4
"Tue, Feb 22",@ Seattle U,W95-74,19-8 (10-5),Bryan-Amaning 24,Bryan-Amaning 13,Thomas 4,0,1,2011,95-74,95,310532547,Washington,51.7,22.2,69,51,20,29,2,16,5,9,17,20,0,0,26
"Sun, Feb 27",vs Washington State,L80-69,19-9 (10-6),Thomas 21,Bryan-Amaning 10,Thomas 5,1,0,2011,80-69,69,310580264,Washington,39.6,28.6,88.9,37,13,23,1,9,5,1,14,21,1,0,21
"Thu, Mar 10",vs Washington State *,W89-87,21-10 (11-7),Thomas 21,Holiday 10,Thomas 11,1,1,2011,89-87,89,310690264,Washington,47.6,43.5,73.9,42,13,23,6,14,5,3,13,14,1,0,13
"Fri, Mar 11",vs Oregon *,W69-51,22-10 (11-7),Wilcox 14,Gant 10,Thomas 12,1,1,2011,69-51,69,310700264,Washington,32.1,16.7,78.6,37,10,24,3,9,8,4,12,19,0,0,2
"Sat, Mar 12",vs 16 Arizona *,W77-75 OT,23-10 (11-7),Thomas 28,Gant 8,Thomas 7,1,1,2011,77-75,77,310710012,Washington,45.5,36,57.1,49,16,27,6,12,5,3,12,25,0,0,6
"Tue, Mar 13",vs 8 UT Arlington,W82-72,22-10 (14-4),Ross 23,Gant 10,Wroten 8,1,1,2012,82-72,82,320730264,Washington,40.3,23.8,77.3,41,17,20,4,13,5,2,12,23,0,0,5
"Fri, Mar 16",vs 4 Northwestern,W76-55,23-10 (14-4),Ross 32,Ross 8,Gaddy 7,1,1,2012,76-55,76,320760264,Washington,35.3,37.5,58.8,28,9,17,2,12,10,5,15,15,0,0,8
"Tue, Mar 20",vs 3 Oregon,W90-86,24-10 (14-4),Ross 24,Wroten 7,Gaddy 10,1,1,2012,90-86,90,320800264,Washington,44.9,28,77.3,38,14,22,2,17,3,3,7,24,0,0,7
"Tue, Mar 27",vs 6 Minnesota *,L68-67 OT,24-11 (14-4),Ross 21,Gant 9,Gaddy 5,1,0,2012,68-67,67,320870264,Washington,44.1,23.1,65,46,11,29,6,15,5,7,21,17,0,0,15
"Sat, Nov 12",vs Georgia State,W91-74,1-0 (0-0),Wilcox 22,N'Diaye 8,Gaddy 6,1,1,2012,91-74,91,313160264,Washington,41.2,40,47.1,41,12,24,5,14,6,4,14,23,1,0,0
"Mon, Nov 14",vs Portland,W93-63,3-0 (0-0),Ross 24,N'Diaye 7,Wroten 6,1,1,2012,93-63,93,313180264,Washington,34.2,21.1,60,48,20,23,5,10,3,1,15,17,0,0,0
"Sun, Nov 20",@ Saint Louis,L77-64,3-1 (0-0),Ross 17,Ross 10,Ross 3,0,0,2012,77-64,64,313240139,Washington,42.4,33.3,62.5,45,16,24,5,10,5,1,16,19,0,0,0
"Fri, Nov 25",vs Houston Baptist,W88-65,4-1 (0-0),Wilcox 19,Ross 13,Gaddy 7,1,1,2012,88-65,88,313290264,Washington,32.3,42.1,68.2,44,14,26,4,12,9,2,21,16,0,0,2
"Fri, Dec 2",@ Nevada,L76-73 OT,4-2 (0-0),Ross 18,N'Diaye 12,Gaddy 6,0,0,2012,76-73,73,313362440,Washington,44.8,28.6,78.9,44,14,27,3,19,8,6,21,22,1,0,10
"Tue, Dec 6",vs 11 Marquette *,L79-77,4-3 (0-0),Ross 19,N'Diaye 13,Gant 4,1,0,2012,79-77,77,313400269,Washington,48.5,30,50,51,18,28,5,13,3,7,16,24,0,0,9
"Sat, Dec 10",vs 7 Duke *,L86-80,4-4 (0-0),Wroten 23,Ross 7,Gaddy 7,1,0,2012,86-80,80,313440150,Washington,47.7,29.4,56.5,39,11,25,3,14,7,0,14,29,0,0,0
"Fri, Dec 16",vs UC Santa Barbara,W87-80,5-4 (0-0),Wroten 27,Gant 8,Ross 2,1,1,2012,87-80,87,313500264,Washington,47.7,44.4,62.5,42,14,26,2,12,5,7,17,24,0,0,6
"Sun, Dec 18",vs South Dakota State,L92-73,5-5 (0-0),Wroten 23,Simmons 11,Gaddy 7,1,0,2012,92-73,73,313520264,Washington,54.9,62.5,81.3,30,8,20,2,12,6,1,5,17,0,0,22
"Thu, Dec 22",vs CSU Northridge,W74-51,6-5 (0-0),Simmons 13,Simmons 8,Gaddy 8,1,1,2012,74-51,74,313560264,Washington,24.1,20,82.1,32,12,18,2,2,5,3,22,18,0,0,0
"Thu, Dec 29",vs Oregon State,W95-80,7-5 (1-0),Wroten 26,Wroten 9,Gaddy 6,1,1,2012,95-80,95,313630264,Washington,50,29.4,52.9,34,11,22,1,13,6,4,13,18,0,0,0
"Sat, Dec 31",vs Oregon,W76-60,8-5 (2-0),Wilcox 24,N'Diaye 6,Wroten 5,1,1,2012,76-60,76,313650264,Washington,32.3,21.7,78.9,37,15,21,1,11,6,3,15,13,1,0,3
"Thu, Jan 5",@ Colorado,L87-69,8-6 (2-1),Wroten 21,Ross 10,Wroten 3,0,0,2012,87-69,69,320050038,Washington,37.5,20,68.8,42,20,18,4,7,9,3,15,21,0,0,9
"Sat, Jan 7",@ Utah,W57-53,9-6 (3-1),Ross 14,Simmons 10,Gaddy 6,0,1,2012,57-53,57,320070254,Washington,42.9,40,52.9,36,11,23,2,13,6,4,8,20,0,0,10
"Tue, Jan 10",vs Seattle U,W91-83,10-6 (3-1),Wilcox 25,N'Diaye 13,Wroten 6,1,1,2012,91-83,91,320100264,Washington,42,40.9,61.5,40,12,28,0,16,9,4,17,37,1,0,2
"Sun, Jan 15",vs Washington State,W75-65,11-6 (4-1),Ross 30,Ross 14,Gaddy 6,1,1,2012,75-65,75,320150264,Washington,45.1,29.2,75,28,4,20,4,13,4,3,12,21,1,0,11
"Thu, Jan 19",vs California,L69-66,11-7 (4-2),Ross 15,N'Diaye 12,Ross 2,1,0,2012,69-66,66,320190264,Washington,47.1,27.3,85.7,37,9,27,1,15,4,3,17,13,0,0,13
"Sat, Jan 21",vs Stanford,W76-63,12-7 (5-2),Wroten 21,Ross 7,Wroten 4,1,1,2012,76-63,76,320210264,Washington,35.9,15.8,60.9,33,13,19,1,7,4,2,9,20,0,0,2
"Thu, Jan 26",@ Arizona State,W60-54,13-7 (6-2),Wroten 22,N'Diaye 8,Gaddy 5,0,1,2012,60-54,60,320260009,Washington,41.7,12.5,61.3,36,10,25,1,11,7,5,10,18,0,0,12
"Sat, Jan 28",@ Arizona,W69-67,14-7 (7-2),Wroten 17,N'Diaye 8,Gaddy 5,0,1,2012,69-67,69,320280012,Washington,44.4,42.9,43.8,42,18,21,3,14,5,4,14,22,0,0,11
"Thu, Feb 2",vs UCLA,W71-69,15-7 (8-2),Ross 22,N'Diaye 11,Gaddy 5,1,1,2012,71-69,71,320330264,Washington,44.3,41.7,66.7,38,14,20,4,14,10,3,14,19,0,0,10
"Sat, Feb 4",vs USC,W69-41,16-7 (9-2),Wroten 13,Ross 14,Wroten 8,1,1,2012,69-41,69,320350264,Washington,28.8,6.3,46.2,30,6,17,7,7,7,4,12,14,0,0,3
"Thu, Feb 9",@ Oregon,L82-57,16-8 (9-3),Wroten 14,Simmons 8,Wroten 4,0,0,2012,82-57,57,320402483,Washington,36.4,12.5,38.9,42,17,21,4,7,8,0,13,20,0,0,0
"Sun, Feb 12",@ Oregon State,W75-72,17-8 (10-3),Ross 21,Ross 13,Gaddy 4,0,1,2012,75-72,75,320430204,Washington,34.8,29.4,68.6,51,16,31,4,9,7,2,11,21,0,0,6
"Thu, Feb 16",vs Arizona State,W77-69,18-8 (11-3),Ross 18,Simmons 6,Gaddy 8,1,1,2012,77-69,77,320470264,Washington,49,40,52.4,36,10,22,4,11,8,3,19,11,0,0,1
"Sat, Feb 18",vs Arizona,W79-70,19-8 (12-3),Ross 25,N'Diaye 12,Gaddy 6,1,1,2012,79-70,79,320490264,Washington,39.3,28.6,69,43,18,21,4,10,0,4,12,19,1,0,5
"Sat, Feb 25",@ Washington State,W59-55,20-8 (13-3),Wroten 21,N'Diaye 7,Wroten 5,0,1,2012,59-55,59,320560265,Washington,35.8,23.5,70.8,37,9,26,2,10,5,1,12,26,1,0,6
"Thu, Mar 8",vs Oregon State *,L86-84,21-10 (14-4),Wroten 29,Gant 10,Gaddy 6,1,0,2012,86-84,84,320680264,Washington,50,45.5,53.1,39,16,21,2,17,5,4,11,19,0,0,15
"Tue, Mar 19",@ 3 BYU,L90-79,18-16 (9-9),Wilcox 20,Kemp Jr. 11,Gaddy 9,0,0,2013,90-79,79,330780252,Washington,41.8,36.4,88.2,40,9,25,6,18,8,5,10,18,0,0,3
"Sun, Nov 11",vs Loyola (MD),W85-63,1-0 (0-0),Wilcox 22,N'Diaye 16,Suggs 3,1,1,2013,85-63,85,323160264,Washington,36.5,25,54.2,38,19,15,4,6,3,5,12,22,0,0,3
"Sun, Nov 18",vs 4 Ohio State *,L77-66,2-2 (0-0),Wilcox 18,N'Diaye 11,Gaddy 2,1,0,2013,77-66,66,323230194,Washington,47.9,50,64.7,32,9,19,4,10,1,3,13,17,0,0,3
"Sat, Nov 24",vs Colorado State,L73-55,2-3 (0-0),Wilcox 28,N'Diaye 8,Andrews 3,1,0,2013,73-55,55,323290264,Washington,43.3,44.4,70,50,24,21,5,15,4,2,11,18,0,0,20
"Sun, Dec 2",vs CSU Fullerton,W74-72,4-3 (0-0),Wilcox 21,Simmons 18,Gaddy 6,1,1,2013,74-72,74,323370264,Washington,42.3,31.8,50,52,15,28,9,14,8,1,13,21,0,0,14
"Sat, Dec 8",vs Nevada,L76-73,4-4 (0-0),Wilcox 21,Simmons 13,Gaddy 5,1,0,2013,76-73,73,323430264,Washington,47.5,35.3,73.7,39,11,25,3,11,8,3,13,16,0,0,18
"Thu, Dec 13",@ Seattle U,W87-74,5-4 (0-0),Suggs 24,Simmons 12,Gaddy 5,0,1,2013,87-74,87,323482547,Washington,54.4,36.4,77.8,45,13,29,3,12,8,6,12,24,0,0,27
"Sat, Dec 15",vs Jackson State,W75-67,6-4 (0-0),Wilcox 21,N'Diaye 9,Wilcox 4,1,1,2013,75-67,75,323500264,Washington,36.4,34.8,68.8,40,13,22,5,12,9,1,13,23,1,0,2
"Thu, Dec 20",vs Cal Poly,W75-62,7-4 (0-0),Wilcox 21,N'Diaye 9,Wilcox 5,1,1,2013,75-62,75,323550264,Washington,44,38.1,71.4,18,3,14,1,15,8,0,12,25,0,0,0
"Sat, Dec 22",vs Northern Illinois,W67-57,8-4 (0-0),Wilcox 22,N'Diaye 12,Gaddy 6,1,1,2013,67-57,67,323570264,Washington,39.3,41.7,72.7,37,12,18,7,11,5,1,13,20,0,0,2
"Sat, Dec 29",@ UConn,L61-53,8-5 (0-0),Suggs 15,Simmons 10,Suggs 4,0,0,2013,61-53,53,323640041,Washington,29.7,23.5,68.8,38,14,22,2,10,8,3,13,20,1,0,6
"Sat, Jan 5",@ Washington State,W68-63,9-5 (1-0),Wilcox 18,N'Diaye 10,Gaddy 5,0,1,2013,68-63,68,330050265,Washington,54.2,41.7,68.8,35,7,25,3,13,5,5,15,18,0,0,17
"Sat, Jan 12",@ Stanford,W65-60,11-5 (3-0),Wilcox 27,Simmons 13,Suggs 2,0,1,2013,65-60,65,330120024,Washington,47.1,40,68.4,39,10,27,2,6,6,4,12,14,0,0,8
"Wed, Jan 16",vs Colorado,W64-54,12-5 (4-0),Wilcox 25,Simmons 12,Gaddy 3,1,1,2013,64-54,64,330160264,Washington,36.2,10,78.6,44,13,25,6,6,2,5,12,19,0,0,0
"Sat, Jan 19",vs Utah,L74-65,12-6 (4-1),Andrews 17,N'Diaye 11,Andrews 4,1,0,2013,74-65,65,330190264,Washington,60.4,30,61.9,34,4,25,5,18,7,2,10,11,0,0,15
"Wed, Jan 23",@ Oregon State,L74-66,12-7 (4-2),Wilcox 23,N'Diaye 10,Andrews 6,0,0,2013,74-66,66,330230204,Washington,44.1,38.9,50,37,12,23,2,11,3,4,15,21,0,0,0
"Sat, Jan 26",@ 16 Oregon,L81-76,12-8 (4-3),Andrews 15,Kemp Jr. 6,Gaddy 5,0,0,2013,81-76,76,330262483,Washington,51.9,66.7,58.3,26,9,15,2,15,9,0,21,27,0,0,1
"Sat, Feb 2",vs Arizona State,W96-92,13-9 (5-4),Andrews 20,N'Diaye 10,Wilcox 7,1,1,2013,96-92,96,330330264,Washington,63.8,63.2,50,23,2,18,3,15,5,1,11,19,1,0,0
"Thu, Feb 7",@ UCLA,L59-57,13-10 (5-5),Wilcox 15,N'Diaye 18,Gaddy 8,0,0,2013,59-57,57,330380026,Washington,42.1,13.3,58.3,48,14,32,2,11,7,3,19,18,0,0,4
"Sun, Feb 10",@ USC,L71-60,13-11 (5-6),Suggs 16,N'Diaye 12,Gaddy 4,0,0,2013,71-60,60,330410030,Washington,44.1,36.4,28.6,41,10,27,4,14,9,1,14,14,0,0,0
"Wed, Feb 13",vs 23 Oregon,L65-52,13-12 (5-7),Gaddy 17,N'Diaye 11,Gaddy 5,1,0,2013,65-52,52,330440264,Washington,49,30.8,56.5,34,8,24,2,10,6,3,9,15,0,0,14
"Sat, Feb 16",vs Oregon State,W72-62,14-12 (6-7),Wilcox 24,Jarreau 7,Gaddy 9,1,1,2013,72-62,72,330470264,Washington,33.9,33.3,70.4,29,11,17,1,11,1,2,12,18,0,0,4
"Wed, Feb 20",@ 12 Arizona,L70-52,14-13 (6-8),Wilcox 15,Kemp Jr. 9,Andrews 4,0,0,2013,70-52,52,330510012,Washington,30.8,9.1,61.1,44,18,19,7,8,4,1,9,22,1,0,5
"Sat, Feb 23",@ Arizona State,W68-59,15-13 (7-8),Suggs 16,N'Diaye 10,Gaddy 7,0,1,2013,68-59,68,330540009,Washington,48.1,33.3,75,37,14,21,2,12,5,3,7,16,0,0,13
"Sun, Mar 3",vs Washington State,W72-68,16-13 (8-8),Wilcox 23,Simmons 8,Gaddy 6,1,1,2013,72-68,72,330620264,Washington,51.2,42.9,83.3,26,7,17,2,12,5,0,18,20,0,0,8
"Wed, Mar 6",vs USC,W65-57,17-13 (9-8),Suggs 18,N'Diaye 11,Suggs 3,1,1,2013,65-57,65,330650264,Washington,37.5,37.5,75,35,9,20,6,8,7,3,12,14,0,0,5
"Sat, Mar 9",vs 23 UCLA,L61-54,17-14 (9-9),Suggs 14,Simmons 11,Gaddy 4,1,0,2013,61-54,54,330680264,Washington,39.7,10,77.8,42,15,20,7,10,8,2,10,11,0,0,7
"Thu, Mar 14",vs Oregon *,L80-77 OT,18-15 (9-9),Wilcox 19,N'Diaye 9,Gaddy 5,1,0,2013,80-77,77,330732483,Washington,45.5,52.9,57.1,45,12,28,5,10,8,6,15,22,0,0,9
"Sun, Nov 10",vs Seattle U,W88-78,1-0 (0-0),Wilcox 22,Anderson 8,Williams-Goss 6,1,1,2014,88-78,88,400499761,Washington,44.8,33.3,57.9,41,13,28,0,9,6,4,13,29,0,0,
"Thu, Nov 14",vs UC Irvine,L86-72,1-1 (0-0),Wilcox 24,Anderson 8,Williams-Goss 5,1,0,2014,86-72,72,400502919,Washington,59.6,22.2,48.5,43,6,37,0,20,2,13,14,23,1,0,
"Sun, Nov 17",vs Eastern Washington,W92-80,2-1 (0-0),Williams-Goss 22,Blackwell 11,Williams-Goss 5,1,1,2014,92-80,92,400498035,Washington,44.6,42.3,47.8,35,12,23,0,13,5,2,15,24,0,0,
"Thu, Nov 21",vs Indiana *,L102-84,2-2 (0-0),Wilcox 24,Blackwell 10,Andrews 4,1,0,2014,102-84,84,400506816,Washington,51.5,23.1,86.1,50,20,30,0,16,4,4,13,23,0,0,
"Sat, Nov 30",vs Long Beach State,W92-89 2OT,4-3 (0-0),Anderson 19,Anderson 16,Andrews 5,1,1,2014,92-89,92,400502937,Washington,50,40,43.8,39,14,25,0,19,4,4,10,25,0,0,
"Sun, Dec 8",@ 24 San Diego State,L70-63,4-4 (0-0),Wilcox 17,Blackwell 11,Williams-Goss 5,0,0,2014,70-63,63,400505523,Washington,38.6,57.1,84.6,41,12,29,0,13,3,1,16,21,0,0,
"Sat, Dec 14",vs Idaho State,W85-66,5-4 (0-0),Blackwell 20,Blackwell 7,Williams-Goss 5,1,1,2014,85-66,85,400498081,Washington,46.2,15.4,84.2,21,6,15,0,14,8,0,14,15,0,0,0
"Tue, Dec 17",@ Tulane,W73-62,6-4 (0-0),Wilcox 15,Williams-Goss 7,Anderson 3,0,1,2014,73-62,73,400499341,Washington,47.8,33.3,78.6,37,7,30,0,12,7,5,18,23,0,0,
"Sun, Dec 22",vs 10 UConn,L82-70,6-5 (0-0),Wilcox 19,Anderson 8,Wilcox 4,1,0,2014,82-70,70,400496933,Washington,54.9,33.3,88,29,12,17,0,7,8,4,15,19,0,0,
"Fri, Dec 27",vs Mississippi Valley State,W95-80,7-5 (0-0),Williams-Goss 18,Blackwell 10,Williams-Goss 5,1,1,2014,95-80,95,400506817,Washington,44.1,32,50,29,6,23,0,12,7,4,11,29,1,0,
"Sun, Dec 29",vs Hartford,W73-67,8-5 (0-0),Wilcox 23,Anderson 6,Williams-Goss 5,1,1,2014,73-67,73,400506165,Washington,55.8,50,76.9,23,3,20,0,14,3,0,14,21,1,0,
"Thu, Jan 2",@ Arizona State,W76-65,9-5 (1-0),Wilcox 17,Williams-Goss 7,Andrews 3,0,1,2014,76-65,76,400506116,Washington,46.7,38.5,68.2,40,11,29,0,14,7,1,13,21,0,0,
"Sat, Jan 4",@ 1 Arizona,L71-62,9-6 (1-1),Wilcox 20,Blackwell 12,Andrews 5,0,0,2014,71-62,62,400506076,Washington,41.7,16.7,83.3,34,13,21,0,13,5,1,15,19,0,0,
"Wed, Jan 8",vs Utah,W59-57,10-6 (2-1),Andrews 19,Blackwell 6,Andrews 2,1,1,2014,59-57,59,400506622,Washington,41.5,6.7,75,31,11,20,0,3,8,1,12,15,0,0,
"Sun, Jan 12",vs 15 Colorado,W71-54,11-6 (3-1),Wilcox 31,Anderson 10,Blackwell 3,1,1,2014,71-54,71,400506175,Washington,34.5,8.3,75,38,18,20,0,6,3,6,20,15,0,0,
"Wed, Jan 15",@ California,L82-56,11-7 (3-2),Wilcox 18,Anderson 8,Williams-Goss 6,0,0,2014,82-56,56,400506139,Washington,30.2,14.3,69.6,33,10,23,0,12,2,1,7,16,0,0,
"Sat, Jan 18",@ Stanford,L79-67,11-8 (3-3),Williams-Goss 17,Williams-Goss 7,Williams-Goss 6,0,0,2014,79-67,67,400506579,Washington,43.1,25,66.7,34,12,22,0,15,4,1,6,22,0,0,
"Thu, Jan 23",vs Oregon,W80-76,12-8 (4-3),Wilcox 23,Simmons 5,Andrews 6,1,1,2014,80-76,80,400507050,Washington,42.9,26.7,94.7,32,13,19,0,10,6,5,10,24,0,0,
"Sat, Jan 25",vs Oregon State,W87-81,13-8 (5-3),Williams-Goss 32,Blackwell 7,Anderson 5,1,1,2014,87-81,87,400506558,Washington,49.1,35.7,76.9,27,7,20,0,10,1,4,5,20,0,0,
"Sat, Feb 1",@ Washington State,L72-67,13-9 (5-4),Wilcox 24,Blackwell 10,Andrews 5,0,0,2014,72-67,67,400506818,Washington,43.9,40,69.2,36,11,25,0,15,3,1,12,23,0,0,
"Thu, Feb 6",@ Utah,L78-69,13-10 (5-5),Wilcox 20,Simmons 6,Andrews 6,0,0,2014,78-69,69,400506625,Washington,43.8,29.2,66.7,28,8,20,0,14,9,2,13,23,0,0,
"Sun, Feb 9",@ Colorado,L91-65,13-11 (5-6),Williams-Goss 15,Anderson 6,Williams-Goss 4,0,0,2014,91-65,65,400506180,Washington,32.3,30.8,78.9,30,11,19,0,12,6,0,9,21,0,0,
"Sat, Feb 15",vs California,L72-59,14-12 (6-7),Andrews 21,Blackwell 11,Wilcox 5,1,0,2014,72-59,59,400506145,Washington,42.9,25,63.6,39,14,25,0,15,6,3,9,14,0,0,
"Fri, Feb 28",vs Washington State,W72-49,16-13 (8-8),Williams-Goss 17,Williams-Goss 12,Williams-Goss 4,1,1,2014,72-49,72,400506819,Washington,31.1,17.4,70.8,27,6,21,0,6,7,4,11,19,0,0,
"Thu, Mar 6",vs UCLA,L91-82,16-14 (8-9),Wilcox 20,Blackwell 10,Williams-Goss 8,1,0,2014,91-82,82,400506616,Washington,54.2,42.9,77.8,29,9,20,0,18,9,2,8,14,0,0,
"Sat, Mar 8",vs USC,W82-75,17-14 (9-9),Wilcox 24,Wilcox 8,Williams-Goss 9,1,1,2014,82-75,82,400506633,Washington,40.3,41.7,76.9,39,15,24,0,6,3,2,14,23,1,0,
"Wed, Mar 12",vs Utah *,L67-61,17-15 (9-9),Johnson 16,Simmons 9,Williams-Goss 3,1,0,2014,67-61,61,400544184,Washington,37,28.6,73.9,28,10,18,0,5,6,3,10,21,0,0,
"Sun, Nov 23",vs Pacific *,W76-69,3-0 (0-0),Kemp Jr. 18,Andrews 7,Williams-Goss 6,1,1,2015,76-69,76,400587230,Washington,43.3,33.3,70.8,40,13,27,0,15,4,6,10,20,0,0,
"Thu, Nov 27",vs San José St *,W78-56,4-0 (0-0),Dorsey 17,Anderson 10,Williams-Goss 8,1,1,2015,78-56,78,400591573,Washington,30.6,25,73.7,39,11,28,0,8,5,4,12,22,0,0,
"Fri, Nov 28",vs Long Beach State *,W80-70,5-0 (0-0),Williams-Goss 21,Williams-Goss 7,Williams-Goss 12,1,1,2015,80-70,80,400608981,Washington,41.8,36.4,72.7,35,11,24,0,12,3,4,13,21,0,0,
"Sun, Nov 30",vs UTEP *,W68-65,6-0 (0-0),Andrews 20,Jarreau 8,Williams-Goss 6,1,1,2015,68-65,68,400609073,Washington,42.3,13.3,73.1,34,13,21,0,13,7,6,15,21,0,0,
"Sun, Dec 7",vs 13 San Diego State,W49-36,7-0 (0-0),Williams-Goss 15,Upshaw 7,Williams-Goss 3,1,1,2015,49-36,49,400591589,Washington,20.4,13.3,57.1,42,21,21,0,4,4,1,12,15,0,0,
"Sun, Dec 14",vs Eastern Washington,W81-77,8-0 (0-0),Upshaw 21,Upshaw 9,Anderson 4,1,1,2015,81-77,81,400585965,Washington,36.8,33.3,81,35,15,20,0,8,6,2,12,26,1,0,
